Classifier,Classification Groups,Accuracy,Recall,Precision,F-score,ROC_AUC,Report,Confusion Matrix,HyperParameters,Scoring Metrics,Time
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
GradientBoostingClassifier,HC_MCI,0.643564356435644,1,0.643564356435644,0.783132530120482,0.5,"              precision    recall  f1-score   support

           0       0.00      0.00      0.00       144
           1       0.64      1.00      0.78       260

    accuracy                           0.64       404
   macro avg       0.32      0.50      0.39       404
weighted avg       0.41      0.64      0.50       404
","[[  0 144]
 [  0 260]]","OrderedDict([('learning_rate', 1e-06), ('max_depth', 5), ('max_features', 'auto'), ('min_samples_leaf', 10), ('min_samples_split', 1.0), ('n_estimators', 50)])",recall,2021-05-04 18:53:12
LogisticRegression,HC_MCI,0.616336633663366,0.580769230769231,0.766497461928934,0.660831509846827,0.630662393162393,"              precision    recall  f1-score   support

           0       0.47      0.68      0.56       144
           1       0.77      0.58      0.66       260

    accuracy                           0.62       404
   macro avg       0.62      0.63      0.61       404
weighted avg       0.66      0.62      0.62       404
","[[ 98  46]
 [109 151]]","OrderedDict([('C', 0.20533804369332564), ('class_weight', 'balanced'), ('multi_class', 'multinomial'), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.09917267529102439)])",recall,2021-05-04 18:53:38
SVC,HC_MCI,0.643564356435644,1,0.643564356435644,0.783132530120482,0.5,"              precision    recall  f1-score   support

           0       0.00      0.00      0.00       144
           1       0.64      1.00      0.78       260

    accuracy                           0.64       404
   macro avg       0.32      0.50      0.39       404
weighted avg       0.41      0.64      0.50       404
","[[  0 144]
 [  0 260]]","OrderedDict([('C', 0.8652386759537992), ('class_weight', 'balanced'), ('coef0', 1.0), ('degree', 0), ('gamma', 0.017998939892696617), ('kernel', 'poly'), ('tol', 0.03481347680306037)])",recall,2021-05-04 18:53:53
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
