Classifier,Classification Groups,Accuracy,Recall,Precision,F-score,ROC_AUC,Report,Confusion Matrix,HyperParameters,Scoring Metrics,Time
GradientBoostingClassifier,HC_AD,0.8040816326530612,0.7641509433962265,0.7788461538461539,0.7714285714285714,0.799341658748473,"              precision    recall  f1-score   support

           0       0.82      0.83      0.83       139
           1       0.78      0.76      0.77       106

    accuracy                           0.80       245
   macro avg       0.80      0.80      0.80       245
weighted avg       0.80      0.80      0.80       245
","[[116  23]
 [ 25  81]]","OrderedDict([('learning_rate', 0.03464943379076609), ('max_depth', 9), ('max_features', 'sqrt'), ('min_samples_leaf', 9), ('min_samples_split', 0.26925858806734665), ('n_estimators', 199)])",accuracy,2021-05-05 07:35:43
LogisticRegression,HC_AD,0.7836734693877551,0.7735849056603774,0.7387387387387387,0.7557603686635945,0.7824759060675988,"              precision    recall  f1-score   support

           0       0.82      0.79      0.81       139
           1       0.74      0.77      0.76       106

    accuracy                           0.78       245
   macro avg       0.78      0.78      0.78       245
weighted avg       0.79      0.78      0.78       245
","[[110  29]
 [ 24  82]]","OrderedDict([('C', 4.537753970698169), ('class_weight', 'balanced'), ('multi_class', 'multinomial'), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.07819682937511435)])",accuracy,2021-05-05 07:35:43
SVC,HC_AD,0.8040816326530612,0.7830188679245284,0.7685185185185185,0.7757009345794392,0.8015813764083074,"              precision    recall  f1-score   support

           0       0.83      0.82      0.83       139
           1       0.77      0.78      0.78       106

    accuracy                           0.80       245
   macro avg       0.80      0.80      0.80       245
weighted avg       0.80      0.80      0.80       245
","[[114  25]
 [ 23  83]]","OrderedDict([('C', 0.48249054517345), ('class_weight', 'balanced'), ('coef0', 0.8966734985141525), ('degree', 2), ('gamma', 0.07030035666541455), ('kernel', 'rbf'), ('tol', 0.005929759686616342)])",accuracy,2021-05-05 07:35:43
GradientBoostingClassifier,MCI_AD,0.7323943661971831,0.22330097087378642,0.6052631578947368,0.3262411347517731,0.5818885806749884,"              precision    recall  f1-score   support

           0       0.75      0.94      0.83       252
           1       0.61      0.22      0.33       103

    accuracy                           0.73       355
   macro avg       0.68      0.58      0.58       355
weighted avg       0.71      0.73      0.69       355
","[[237  15]
 [ 80  23]]","OrderedDict([('learning_rate', 0.15576204246353537), ('max_depth', 20), ('max_features', 'log2'), ('min_samples_leaf', 7), ('min_samples_split', 0.9219165538149643), ('n_estimators', 139)])",accuracy,2021-05-05 07:35:46
LogisticRegression,MCI_AD,0.704225352112676,0.7184466019417476,0.49333333333333335,0.5849802371541503,0.7084296501772229,"              precision    recall  f1-score   support

           0       0.86      0.70      0.77       252
           1       0.49      0.72      0.58       103

    accuracy                           0.70       355
   macro avg       0.68      0.71      0.68       355
weighted avg       0.75      0.70      0.72       355
","[[176  76]
 [ 29  74]]","OrderedDict([('C', 1.8967601020017366), ('class_weight', 'balanced'), ('multi_class', 'multinomial'), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.042082833021927855)])",accuracy,2021-05-05 07:35:46
SVC,MCI_AD,0.7267605633802817,0.4854368932038835,0.5319148936170213,0.5076142131979696,0.6554168593003544,"              precision    recall  f1-score   support

           0       0.80      0.83      0.81       252
           1       0.53      0.49      0.51       103

    accuracy                           0.73       355
   macro avg       0.66      0.66      0.66       355
weighted avg       0.72      0.73      0.72       355
","[[208  44]
 [ 53  50]]","OrderedDict([('C', 0.1764821492368011), ('class_weight', 'balanced'), ('coef0', 0.37560186611104196), ('degree', 7), ('gamma', 0.08213644396499663), ('kernel', 'poly'), ('tol', 0.09578936001314454)])",accuracy,2021-05-05 07:35:46
GradientBoostingClassifier,HC_MCI,0.6212871287128713,0.7394636015325671,0.6942446043165468,0.7161410018552875,0.5725290035634863,"              precision    recall  f1-score   support

           0       0.46      0.41      0.43       143
           1       0.69      0.74      0.72       261

    accuracy                           0.62       404
   macro avg       0.58      0.57      0.57       404
weighted avg       0.61      0.62      0.62       404
","[[ 58  85]
 [ 68 193]]","OrderedDict([('learning_rate', 0.5290963646843333), ('max_depth', 19), ('max_features', 'log2'), ('min_samples_leaf', 4), ('min_samples_split', 0.9749043572373786), ('n_estimators', 388)])",accuracy,2021-05-05 07:35:49
LogisticRegression,HC_MCI,0.6361386138613861,0.6015325670498084,0.785,0.6811279826464208,0.650416633175254,"              precision    recall  f1-score   support

           0       0.49      0.70      0.58       143
           1       0.79      0.60      0.68       261

    accuracy                           0.64       404
   macro avg       0.64      0.65      0.63       404
weighted avg       0.68      0.64      0.64       404
","[[100  43]
 [104 157]]","OrderedDict([('C', 8.570976989376454), ('class_weight', 'balanced'), ('multi_class', 'multinomial'), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.09745831021639761)])",accuracy,2021-05-05 07:35:50
SVC,HC_MCI,0.5915841584158416,0.6206896551724138,0.7105263157894737,0.6625766871165644,0.5795755968169761,"              precision    recall  f1-score   support

           0       0.44      0.54      0.48       143
           1       0.71      0.62      0.66       261

    accuracy                           0.59       404
   macro avg       0.57      0.58      0.57       404
weighted avg       0.61      0.59      0.60       404
","[[ 77  66]
 [ 99 162]]","OrderedDict([('C', 0.5309707055700434), ('class_weight', 'balanced'), ('coef0', 0.1721705935454261), ('degree', 8), ('gamma', 0.04871018206781918), ('kernel', 'sigmoid'), ('tol', 0.08344780059977137)])",accuracy,2021-05-05 07:35:50
GradientBoostingClassifier,HC_AD,0.8326530612244898,0.7272727272727273,0.8372093023255814,0.7783783783783784,0.8156911581569116,"              precision    recall  f1-score   support

           0       0.83      0.90      0.87       146
           1       0.84      0.73      0.78        99

    accuracy                           0.83       245
   macro avg       0.83      0.82      0.82       245
weighted avg       0.83      0.83      0.83       245
","[[132  14]
 [ 27  72]]","OrderedDict([('learning_rate', 0.31748156149856327), ('max_depth', 19), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 0.2162001158464286), ('n_estimators', 497)])",accuracy,2021-05-05 07:36:23
